iter	Passed	Remaining
555	2292	1830
556	2295	1825
557	2296	1819
558	2298	1813
559	2300	1807
560	2303	1802
561	2308	1798
562	2311	1793
563	2313	1788
564	2314	1782
565	2317	1777
566	2320	1771
567	2325	1768
568	2328	1763
569	2331	1758
570	2334	1754
571	2339	1750
572	2342	1745
573	2344	1739
574	2345	1733
575	2348	1728
576	2357	1728
577	2360	1723
578	2362	1717
579	2365	1712
580	2369	1708
581	2373	1704
582	2375	1699
583	2377	1693
584	2380	1688
585	2382	1683
586	2387	1679
587	2389	1674
588	2392	1669
589	2393	1663
590	2396	1658
591	2400	1654
592	2404	1650
593	2406	1645
594	2408	1639
595	2410	1634
596	2413	1629
597	2418	1625
598	2420	1620
599	2422	1615
600	2424	1609
601	2427	1604
602	2429	1599
603	2434	1595
604	2437	1591
605	2439	1586
606	2442	1581
607	2445	1576
608	2450	1573
609	2453	1568
610	2455	1563
611	2457	1558
612	2460	1553
613	2465	1550
614	2469	1545
615	2470	1540
616	2473	1535
617	2475	1530
618	2480	1526
619	2484	1522
620	2486	1517
621	2489	1512
622	2493	1508
623	2498	1505
624	2502	1501
625	2506	1497
626	2511	1494
627	2515	1490
628	2518	1485
629	2521	1480
630	2527	1478
631	2532	1474
632	2535	1469
633	2538	1465
634	2544	1462
635	2549	1459
636	2552	1454
637	2555	1450
638	2561	1447
639	2565	1442
640	2568	1438
641	2572	1434
642	2578	1431
643	2581	1426
644	2582	1421
645	2585	1416
646	2587	1411
647	2593	1408
648	2595	1403
649	2597	1398
650	2599	1393
651	2601	1388
652	2605	1384
653	2609	1380
654	2611	1375
655	2613	1370
656	2615	1365
657	2617	1360
658	2620	1355
659	2624	1352
660	2627	1347
661	2629	1342
662	2631	1337
663	2633	1332
664	2638	1329
665	2641	1324
666	2643	1319
667	2646	1315
668	2648	1310
669	2652	1306
670	2656	1302
671	2658	1297
672	2659	1292
673	2661	1287
674	2664	1282
675	2668	1278
676	2671	1274
677	2674	1270
678	2676	1265
679	2677	1260
680	2680	1255
681	2685	1252
682	2688	1247
683	2691	1243
684	2692	1238
685	2695	1233
686	2697	1229
687	2702	1225
688	2705	1221
689	2707	1216
690	2709	1211
691	2712	1207
692	2718	1204
693	2720	1199
694	2722	1194
695	2724	1189
696	2726	1185
697	2730	1181
698	2734	1177
699	2737	1173
700	2738	1168
701	2742	1163
702	2744	1159
703	2749	1155
704	2751	1151
705	2753	1146
706	2755	1141
707	2757	1137
708	2760	1133
709	2765	1129
710	2768	1125
711	2770	1120
712	2772	1115
713	2774	1111
714	2778	1107
715	2785	1104
716	2790	1101
717	2793	1097
718	2797	1093
719	2800	1089
720	2802	1084
721	2804	1080
722	2807	1075
723	2812	1072
724	2815	1067
725	2817	1063
726	2819	1058
727	2821	1054
728	2825	1050
729	2829	1046
730	2832	1042
731	2834	1037
732	2836	1033
733	2839	1028
734	2843	1025
735	2846	1021
736	2848	1016
737	2850	1011
738	2852	1007
739	2854	1003
740	2859	999
741	2862	995
742	2864	990
743	2866	986
744	2868	981
745	2871	977
746	2875	973
747	2878	969
748	2880	965
749	2882	960
750	2884	956
751	2888	952
752	2891	948
753	2893	944
754	2895	939
755	2897	935
756	2900	931
757	2904	927
758	2908	923
759	2911	919
760	2912	914
761	2915	910
762	2918	906
763	2923	902
764	2926	898
765	2927	894
766	2930	890
767	2933	886
768	2938	882
769	2941	878
770	2943	874
771	2945	869
772	2947	865
773	2952	862
774	2955	858
775	2957	853
776	2959	849
777	2962	845
778	2965	841
779	2970	837
780	2973	833
781	2974	829
782	2976	825
783	2979	820
784	2984	817
785	2987	813
786	2988	808
787	2990	804
788	2992	800
789	2995	796
790	3000	792
791	3003	788
792	3005	784
793	3007	780
794	3009	776
795	3012	771
796	3016	768
797	3019	764
798	3021	760
799	3023	755
800	3025	751
801	3029	748
802	3034	744
803	3035	740
804	3037	735
805	3039	731
806	3041	727
807	3045	723
808	3049	720
809	3052	716
810	3054	711
811	3056	707
812	3059	703
813	3064	700
814	3067	696
815	3069	692
816	3071	687
817	3073	683
818	3078	680
819	3081	676
820	3083	672
821	3085	668
822	3087	664
823	3090	660
824	3094	656
825	3098	652
826	3099	648
827	3101	644
828	3104	640
829	3107	636
830	3111	632
831	3113	628
832	3115	624
833	3117	620
834	3120	616
835	3123	612
836	3127	609
837	3130	605
838	3133	601
839	3135	597
840	3137	593
841	3142	589
842	3145	585
843	3147	581
844	3149	577
845	3151	573
846	3154	569
847	3159	566
848	3161	562
849	3163	558
850	3165	554
851	3168	550
852	3173	546
853	3176	543
854	3178	539
855	3180	535
856	3182	531
857	3185	527
858	3191	523
859	3193	519
860	3195	515
861	3198	512
862	3200	508
863	3205	504
864	3208	500
865	3210	496
866	3212	492
867	3214	488
868	3218	485
869	3222	481
870	3224	477
871	3226	473
872	3229	469
873	3231	465
874	3236	462
875	3239	458
876	3241	454
877	3243	450
878	3245	446
879	3247	442
880	3252	439
881	3256	435
882	3257	431
883	3259	427
884	3262	423
885	3267	420
886	3270	416
887	3272	412
888	3274	408
889	3276	404
890	3279	401
891	3283	397
892	3286	393
893	3288	389
894	3290	385
895	3292	382
896	3296	378
897	3300	374
898	3302	371
899	3304	367
900	3306	363
901	3308	359
902	3313	355
903	3316	352
904	3319	348
905	3320	344
906	3324	340
907	3326	337
908	3331	333
909	3334	329
910	3335	325
911	3338	322
912	3340	318
913	3344	314
914	3348	311
915	3350	307
916	3352	303
917	3354	299
918	3357	295
919	3362	292
920	3366	288
921	3368	284
922	3369	281
923	3371	277
924	3374	273
925	3378	270
926	3381	266
927	3383	262
928	3385	258
929	3388	255
930	3393	251
931	3395	247
932	3397	243
933	3399	240
934	3402	236
935	3406	232
936	3410	229
937	3412	225
938	3414	221
939	3415	218
940	3419	214
941	3426	210
942	3429	207
943	3431	203
944	3433	199
945	3436	196
946	3440	192
947	3443	188
948	3446	185
949	3448	181
950	3450	177
951	3454	174
952	3458	170
953	3460	166
954	3462	163
955	3465	159
956	3468	155
957	3474	152
958	3477	148
959	3480	145
960	3483	141
961	3488	137
962	3490	134
963	3492	130
964	3494	126
965	3497	123
966	3501	119
967	3505	115
968	3506	112
969	3508	108
970	3511	104
971	3513	101
972	3519	97
973	3522	94
974	3524	90
975	3526	86
976	3529	83
977	3533	79
978	3536	75
979	3539	72
980	3540	68
981	3544	64
982	3547	61
983	3551	57
984	3553	54
985	3555	50
986	3558	46
987	3561	43
988	3566	39
989	3569	36
990	3571	32
991	3573	28
992	3576	25
993	3580	21
994	3583	18
995	3586	14
996	3588	10
997	3591	7
998	3594	3
999	3598	0
