iter	Passed	Remaining
865	3175	491
866	3177	487
867	3183	484
868	3186	480
869	3188	476
870	3191	472
871	3194	468
872	3199	465
873	3201	461
874	3203	457
875	3206	453
876	3208	449
877	3213	446
878	3216	442
879	3218	438
880	3220	435
881	3223	431
882	3228	427
883	3231	424
884	3233	420
885	3235	416
886	3238	412
887	3242	409
888	3246	405
889	3249	401
890	3254	398
891	3261	394
892	3265	391
893	3267	387
894	3270	383
895	3272	379
896	3279	376
897	3281	372
898	3284	369
899	3286	365
900	3292	361
901	3295	358
902	3297	354
903	3300	350
904	3302	346
905	3305	342
906	3310	339
907	3312	335
908	3315	331
909	3317	328
910	3323	324
911	3327	321
912	3329	317
913	3332	313
914	3335	309
915	3344	306
916	3347	302
917	3350	299
918	3354	295
919	3358	292
920	3360	288
921	3363	284
922	3369	281
923	3373	277
924	3376	273
925	3378	269
926	3381	266
927	3385	262
928	3389	259
929	3391	255
930	3394	251
931	3396	247
932	3399	244
933	3404	240
934	3407	236
935	3409	233
936	3411	229
937	3414	225
938	3419	222
939	3422	218
940	3426	214
941	3428	211
942	3433	207
943	3437	203
944	3438	200
945	3441	196
946	3444	192
947	3446	189
948	3451	185
949	3454	181
950	3456	178
951	3459	174
952	3464	170
953	3468	167
954	3470	163
955	3474	159
956	3481	156
957	3487	152
958	3490	149
959	3493	145
960	3497	141
961	3500	138
962	3502	134
963	3504	130
964	3506	127
965	3509	123
966	3515	119
967	3517	116
968	3519	112
969	3522	108
970	3525	105
971	3530	101
972	3533	98
973	3535	94
974	3537	90
975	3539	87
976	3545	83
977	3547	79
978	3549	76
979	3552	72
980	3554	68
981	3559	65
982	3563	61
983	3565	57
984	3567	54
985	3570	50
986	3572	47
987	3582	43
988	3588	39
989	3594	36
990	3597	32
991	3600	29
992	3603	25
993	3608	21
994	3611	18
995	3613	14
996	3616	10
997	3619	7
998	3624	3
999	3627	0
